product name	time	likes	dislikes	pos-comments	neg-comments	flip-buyers	am-buyers	hashtags	cost	category	sub category	brand	discount	stock	url	ratings	viewers	ads	score	R	N	W
Striped Men Polo Neck Multicolor T-Shirt	1	3183	3343	10011	386	20210	5393	5615	1436	Fashion	Men	Eyebloger	960	10	https://www.flipkart.com/eyebogler-striped-men-polo-neck-multicolor-t-shirt/p/itm07b4115ef6413?pid=TSHGA4MHWRQHJNZQ&lid=LSTTSHGA4MHWRQHJNZQZFYPZE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_5&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BT-Shirts_IF56C41VGEYS&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=5375b322-cf7a-43b7-9009-6341ed709768.TSHGA4MHWRQHJNZQ.SEARCH&ppt=browse&ppn=browse	3091	15691	10	4.891225499	5.181309409	69329	0.427819465
"Checkered Men Polo Neck Blue, White T-Shirt"	1	7664	1159	3930	1262	1154	2700	3720	695	Fashion	Men	Eyebloger	450	10	https://www.flipkart.com/eyebogler-checkered-men-polo-neck-blue-white-t-shirt/p/itm2ddd8d86b85dc?pid=TSHFZR2UVDZ4Z7FS&lid=LSTTSHFZR2UVDZ4Z7FS3AF1OR&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_15&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BT-Shirts_IF56C41VGEYS&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=5375b322-cf7a-43b7-9009-6341ed709768.TSHFZR2UVDZ4Z7FS.SEARCH&ppt=browse&ppn=browse	10068	41268	3	4.302531622	3.860934484	74073	0.457094019
Solid Single Breasted Men Full Sleeve Blazer  (Green)	2	7010	1463	7620	1097	20519	8678	1955	408	Fashion	Men	TRULYFEB	599	10	https://www.flipkart.com/trulyfeb-solid-single-breasted-casual-festive-festive-wedding-formal-party-wedding-men-blazer/p/itm0ea1634202b09?pid=BZRG6Y6SYEFUMKG7&lid=LSTBZRG6Y6SYEFUMKG79DLLMF&marketplace=FLIPKART&store=clo%2Fupk%2Ffj9%2Fqd3&srno=b_1_1&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BBlazers_LGFIYK1098US&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=en_gV4HNv54Bu2nqnG8k8l6eOYusYzPKGRj32IfATcgwm6eM%2Fy3bRUJ2YqBVE3Y3NqXL31vK2VhoFcXFbFGhPvg5A%3D%3D&ppt=browse&ppn=browse&ssid=ydn4t86f5mntem0w1659067842996	7022	17933	4	5.048496744	5.483218496	74308	0.458544171
Regular Fit Men Dark Blue Cotton Blend Trousers	2	7902	2804	3637	1321	21728	11579	7011	1359	Fashion	Men	Roadster	109	10	https://www.flipkart.com/roadster-regular-fit-men-dark-blue-trousers/p/itm4991535b41797?pid=TROG6P6XHHHHRWHQ&lid=LSTTROG6P6XHHHHRWHQDQRCAS&marketplace=FLIPKART&store=clo%2Fvua%2Fmle%2Flhk&srno=b_1_7&otracker=nmenu_sub_Men_0_Casual%20Trousers&fm=organic&iid=5ccdc3da-8d6f-4d1d-818a-9336a20fa2e9.TROG6P6XHHHHRWHQ.SEARCH&ppt=browse&ppn=browse&ssid=h27vhvinqyhw7j0g1659067978476	1564	22104	10	4.892527911	5.107102357	81128	0.500629428
Slim Men Blue Jeans	2	6818	3538	5360	1602	13565	9035	7792	916	Fashion	Men	METRONAUT	798	10	https://www.flipkart.com/metronaut-flipkart-slim-men-blue-jeans/p/itm51e93fd8daf75?pid=JEAFYQGSUREXHYPT&lid=LSTJEAFYQGSUREXHYPTHUVAOX&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_2&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BBottom%2BWear~Men%2527s%2BJeans_AWKDIFDJVHWO&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_j7tjvfMtYCv8Z%2BVcibaM08WnMz2OArHVKeHhz%2BAvR8S7HwPCEc1c5KCzGEjBMBCiUWKX0uruPiEupXURUky0jw%3D%3D&ppt=browse&ppn=browse&ssid=why7o3cxutdw0buo1659068072153	5543	20022	2	4.699110062	4.726127135	74991	0.462758868
Regular Men Dark Blue Jeans	1	157	3188	6676	1928	20386	4120	9040	1425	Fashion	Men	Roadster	676	10	https://www.flipkart.com/roadster-regular-men-dark-blue-jeans/p/itm581422e68c639?pid=JEAFJUVCHHFQYNGB&lid=LSTJEAFJUVCHHFQYNGBCDVUBS&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_18&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BBottom%2BWear~Men%2527s%2BJeans_AWKDIFDJVHWO&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_j7tjvfMtYCv8Z%2BVcibaM08WnMz2OArHVKeHhz%2BAvR8RIme6RCCg%2BR5qfKKGye4E294AAzO2sa2V9VIUahNwaeA%3D%3D&ppt=browse&ppn=browse	8635	12452	1	4.891765825	5.185545396	68684	0.423839261
Solid Men Grey Sports Shorts	2	7499	389	6513	1092	24230	3457	292	452	Fashion	Men	ADRENEX	546	10	https://www.flipkart.com/adrenex-solid-men-grey-sports-shorts/p/itm732bcbf5df120?pid=SRTGCV9FKHXNXGYC&lid=LSTSRTGCV9FKHXNXGYCNFEEQT&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fkc7&srno=b_1_10&otracker=browse&fm=organic&iid=71b80604-e026-4cb8-9071-0a6e9fb0ecbd.SRTGCV9FKHXNXGYC.SEARCH&ppt=browse&ppn=browse&ssid=dsvjo0rv84zwjy801659068312790	11752	31894	4	4.981878196	5.240376759	88120	0.543776072
Men Cargos	3	3279	844	5765	1166	7591	11966	918	1565	Fashion	Men	METRONAUT	256	10	https://www.flipkart.com/metronaut-men-cargos/p/itma9c6fb98afa95?pid=TROG7XM5H5GDTPQH&lid=LSTTROG7XM5H5GDTPQHRJ7ABZ&marketplace=FLIPKART&store=clo%2Fvua%2Frqy%2Fnli&srno=b_1_4&otracker=browse&fm=organic&iid=dfc8fe7a-f1af-4902-b97e-087c0354bec3.TROG7XM5H5GDTPQH.SEARCH&ppt=browse&ppn=browse&ssid=6n3gxn9ccvx53wg01659068386932	4982	41286	5	4.588109913	4.501601296	79623	0.491342285
Men Slim Fit Checkered Formal Shirt	4	1310	1327	6524	1753	22079	3581	1061	911	Fashion	Men	Raymond	243	10	https://www.flipkart.com/raymond-men-checkered-formal-light-blue-shirt/p/itm9f7019f53011c?pid=SHTGE94JGWSMWWED&lid=LSTSHTGE94JGWSMWWEDSAPSF0&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_9&otracker=browse&fm=organic&iid=543d73ad-10d8-407b-aba5-b6ee48b5c67c.SHTGE94JGWSMWWED.SEARCH&ppt=browse&ppn=browse&ssid=s0mg4uaixnwtzx8g1659068459879	2521	17964	0	4.884606515	5.252724635	59274	0.365771481
Men Slim Fit Self Design Formal Shirt	3	337	1580	9355	822	5451	8095	1278	1109	Fashion	Men	Raymond	675	10	https://www.flipkart.com/raymond-men-self-design-formal-red-shirt/p/itmc066144ee5a4d?pid=SHTGEHS8PDHTUZAH&lid=LSTSHTGEHS8PDHTUZAHDOZHWO&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_4&otracker=browse&fm=organic&iid=543d73ad-10d8-407b-aba5-b6ee48b5c67c.SHTGEHS8PDHTUZAH.SEARCH&ppt=browse&ppn=browse	12629	41090	2	4.597126787	4.526588452	82423	0.50862069
